;;;Szövegértés;;;;;;Matematika;;;;;;Természettudomány;;;;;;Angol nyelv;;;;;;Német nyelv;;;;;
;;;2022/2023-as tanév;;2023/2024-es tanév előzetes eredmény;;2023/2024-es tanév végleges eredmény;;2022/2023-as tanév;;2023/2024-es tanév előzetes eredmény;;2023/2024-es tanév végleges eredmény;;2022/2023-as tanév;;2023/2024-es tanév előzetes eredmény;;2023/2024-es tanév végleges eredmény;;2022/2023-as tanév;;2023/2024-es tanév előzetes eredmény;;2023/2024-es tanév végleges eredmény;;2022/2023-as tanév;;2023/2024-es tanév előzetes eredmény;;2023/2024-es tanév végleges eredmény;
Évfolyam;Tanulócsoportok;Mérési azonosító;Képességpont;Képességszint;Képességpont;Képességszint;Képességpont;Képességszint;Képességpont;Képességszint;Képességpont;Képességszint;Képességpont;Képességszint;Képességpont;Képességszint;Képességpont;Képességszint;Képességpont;Képességszint;Képességpont;Képességszint;Képességpont;Képességszint;Képességpont;Képességszint;Képességpont;Képességszint;Képességpont;Képességszint;Képességpont;Képességszint
7;7. évfolyam A osztály;B758-L483;1521;4;1521;4;1521;4;1709;4;1803;5;Nincs;Nincs;1901;6;1766;5;Nincs;Nincs;1611;2;1710;3;Nincs;Nincs;Nincs;Nincs;Nincs;Nincs;Nincs;Nincs
7;7. évfolyam A osztály;V412-Q149;1335;2;1463;3;Nincs;Nincs;1596;4;1644;4;Nincs;Nincs;1513;3;1615;4;Nincs;Nincs;1693;3;1691;3;Nincs;Nincs;Nincs;Nincs;Nincs;Nincs;Nincs;Nincs
7;7. évfolyam A osztály;O782-M481;1577;4;1660;5;1660;5;1612;4;1682;4;Nincs;Nincs;1623;4;Nincs;Nincs;Nincs;Nincs;Nincs;Nincs;Nincs;Nincs;Nincs;Nincs;1692;1;Nincs;Nincs;Nincs;Nincs
7;7. évfolyam A osztály;V264-M295;1599;4;1778;6;Nincs;Nincs;1775;5;1828;5;Nincs;Nincs;1683;4;1710;5;Nincs;Nincs;1835;3;1872;3;Nincs;Nincs;Nincs;Nincs;Nincs;Nincs;Nincs;Nincs
7;7. évfolyam A osztály;W478-Q988;1909;6;1824;6;Nincs;Nincs;1946;6;1852;6;Nincs;Nincs;1973;6;Nincs;Nincs;Nincs;Nincs;1472;1;Nincs;Nincs;Nincs;Nincs;Nincs;Nincs;Nincs;Nincs;Nincs;Nincs
7;7. évfolyam A osztály;V459-B624;1638;5;1691;5;Nincs;Nincs;1637;4;1586;4;Nincs;Nincs;1532;3;1439;3;Nincs;Nincs;Nincs;Nincs;Nincs;Nincs;Nincs;Nincs;1630;1;1443;0;Nincs;Nincs
7;7. évfolyam A osztály;S686-S738;1821;6;1709;5;1709;5;1684;4;1791;5;Nincs;Nincs;1817;5;1876;6;Nincs;Nincs;Nincs;Nincs;Nincs;Nincs;Nincs;Nincs;1711;1;1733;2;Nincs;Nincs
7;7. évfolyam A osztály;R291-V644;1876;6;1946;7;Nincs;Nincs;1767;5;1905;6;Nincs;Nincs;1821;5;1871;6;Nincs;Nincs;1449;1;1490;1;Nincs;Nincs;Nincs;Nincs;Nincs;Nincs;Nincs;Nincs
7;7. évfolyam A osztály;M751-N132;1626;4;1849;6;Nincs;Nincs;1701;4;1596;4;Nincs;Nincs;1715;5;1523;3;Nincs;Nincs;1438;1;1442;1;Nincs;Nincs;Nincs;Nincs;Nincs;Nincs;Nincs;Nincs
7;7. évfolyam A osztály;Q365-P841;1544;4;1667;5;Nincs;Nincs;1631;4;1770;5;Nincs;Nincs;1420;3;1518;3;Nincs;Nincs;1817;3;1693;3;Nincs;Nincs;Nincs;Nincs;Nincs;Nincs;Nincs;Nincs
7;7. évfolyam A osztály;F123-K243;1681;5;1628;4;Nincs;Nincs;1766;5;1973;6;Nincs;Nincs;1533;3;1615;4;Nincs;Nincs;1907;3;1956;3;Nincs;Nincs;Nincs;Nincs;Nincs;Nincs;Nincs;Nincs
7;7. évfolyam A osztály;E896-O835;1611;4;1612;4;1612;4;1699;4;1803;5;Nincs;Nincs;1538;3;1561;4;Nincs;Nincs;1498;1;1979;3;Nincs;Nincs;Nincs;Nincs;Nincs;Nincs;Nincs;Nincs
7;7. évfolyam A osztály;H284-U453;1751;5;1822;6;1822;6;1722;5;1842;5;Nincs;Nincs;1876;6;1979;6;Nincs;Nincs;1369;0;1633;2;Nincs;Nincs;Nincs;Nincs;Nincs;Nincs;Nincs;Nincs
7;7. évfolyam A osztály;B777-S921;1298;2;1336;2;1336;2;1390;2;1408;2;Nincs;Nincs;1299;2;1390;2;Nincs;Nincs;1325;0;1501;1;Nincs;Nincs;Nincs;Nincs;Nincs;Nincs;Nincs;Nincs
7;7. évfolyam A osztály;R418-V928;1625;4;1495;4;1495;4;1676;4;1639;4;Nincs;Nincs;1568;4;1597;4;Nincs;Nincs;1547;2;1631;2;Nincs;Nincs;Nincs;Nincs;Nincs;Nincs;Nincs;Nincs
7;7. évfolyam A osztály;V112-L184;1661;5;1708;5;Nincs;Nincs;1575;3;1523;3;Nincs;Nincs;1671;4;1643;4;Nincs;Nincs;Nincs;Nincs;Nincs;Nincs;Nincs;Nincs;1498;0;1580;1;Nincs;Nincs
7;7. évfolyam A osztály;P928-M788;1808;6;1832;6;Nincs;Nincs;1756;5;1618;4;Nincs;Nincs;1810;5;1939;6;Nincs;Nincs;1562;2;1676;3;Nincs;Nincs;Nincs;Nincs;Nincs;Nincs;Nincs;Nincs
7;7. évfolyam A osztály;D853-F456;1688;5;1673;5;Nincs;Nincs;1800;5;1846;5;Nincs;Nincs;1996;6;1817;5;Nincs;Nincs;1486;1;1576;2;Nincs;Nincs;Nincs;Nincs;Nincs;Nincs;Nincs;Nincs
7;7. évfolyam A osztály;H986-L580;1520;4;1782;6;Nincs;Nincs;1507;3;1704;4;Nincs;Nincs;1448;3;1730;5;Nincs;Nincs;1377;0;1569;2;Nincs;Nincs;Nincs;Nincs;Nincs;Nincs;Nincs;Nincs
7;7. évfolyam A osztály;B879-A126;1750;5;1704;5;Nincs;Nincs;1829;5;1871;6;Nincs;Nincs;1619;4;1629;4;Nincs;Nincs;Nincs;Nincs;Nincs;Nincs;Nincs;Nincs;1540;1;1703;1;Nincs;Nincs
